Plot	Pollinator	Pollinator_group	Pollinator_group_2	Functional_group_Rocka	Species	Abundance
1	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	CAL	1
37	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	CAL	18
6	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	CSA	4
37	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	CSA	1
2	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	EFL	4
14	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	EFL	1
17	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	EFL	1
19	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	EFL	1
24	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	EFL	3
29	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	EFL	2
30	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	EFL	1
19	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	HOE	1
29	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	HOE	1
9	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	ROF	1
14	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	ROF	1
26	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	ROF	1
10	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	TVUF	2
14	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	TVUF	1
30	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	TVUF	1
37	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	TVUF	1
10	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	TVUH	1
16	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	TVUH	1
21	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	TVUH	1
37	Andrena_djelfensis	Bee	Small_bee	Short-tongued_small_bees	TVUH	3
24	Andrena_nana	Bee	Small_bee	Short-tongued_medium-sized_bees	BLA	1
38	Andrena_nana	Bee	Small_bee	Short-tongued_medium-sized_bees	CSA	1
20	Ceratina_cyanea	Bee	Small_bee	Short-tongued_medium-sized_bees	AMO	1
15	Ceratina_cyanea	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
7	Hylaeus_garrulus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
9	Hylaeus_garrulus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
4	Hylaeus_hyalinatus	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
19	Lasioglossum_bimaculatum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
22	Lasioglossum_bimaculatum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
38	Lasioglossum_griseolum	Bee	Small_bee	Short-tongued_small_bees	FLA	1
39	Lasioglossum_griseolum	Bee	Small_bee	Short-tongued_small_bees	FLA	1
11	Lasioglossum_griseolum	Bee	Small_bee	Short-tongued_small_bees	HOE	1
22	Lasioglossum_griseolum	Bee	Small_bee	Short-tongued_small_bees	OLA	1
3	Lasioglossum_griseolum	Bee	Small_bee	Short-tongued_small_bees	ROF	1
30	Lasioglossum_griseolum	Bee	Small_bee	Short-tongued_small_bees	ROF	1
26	Lasioglossum_griseolum	Bee	Small_bee	Short-tongued_small_bees	TVUF	1
38	Lasioglossum_griseolum	Bee	Small_bee	Short-tongued_small_bees	TVUF	1
30	Lasioglossum_griseolum	Bee	Small_bee	Short-tongued_small_bees	TVUH	1
38	Lasioglossum_griseolum	Bee	Small_bee	Short-tongued_small_bees	TVUH	4
1	Lasioglossum_interruptum	Bee	Small_bee	Short-tongued_medium-sized_bees	CAL	1
16	Lasioglossum_interruptum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
37	Lasioglossum_interruptum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
1	Lasioglossum_malachurum	Bee	Small_bee	Short-tongued_small_bees	TVUF	1
6	Lasioglossum_mediterraneum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
34	Lasioglossum_mediterraneum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	1
36	Lasioglossum_mediterraneum	Bee	Small_bee	Short-tongued_medium-sized_bees	TVUF	9
9	Lasioglossum_soror	Bee	Small_bee	Short-tongued_small_bees	ROF	1
9	Lasioglossum_soror	Bee	Small_bee	Short-tongued_small_bees	TVUH	1
2	Lasioglossum_subhirtum	Bee	Small_bee	Short-tongued_small_bees	ROF	3
3	Lasioglossum_subhirtum	Bee	Small_bee	Short-tongued_small_bees	ROF	1
12	Lasioglossum_subhirtum	Bee	Small_bee	Short-tongued_small_bees	ROF	1
19	Lasioglossum_subhirtum	Bee	Small_bee	Short-tongued_small_bees	ROF	3
19	Lasioglossum_subhirtum	Bee	Small_bee	Short-tongued_small_bees	TVUF	2
38	Lasioglossum_subhirtum	Bee	Small_bee	Short-tongued_small_bees	TVUF	1
1	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	2
3	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	5
4	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	2
5	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	3
8	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
9	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	2
10	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	2
12	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	3
14	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	5
18	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	2
19	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
20	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
21	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	1
24	Lasioglossum_transitorium_planulum	Bee	Small_bee	Short-tongued_medium-sized_bees	ROF	3
