Parcela	X	Y	Nom_definitiu	Solitary	Separing_honeybees	Group	Functional_group_Rocka	Familia	Nom_planta	Codi_planta	Plant	Frequencia
35	1.83	41.28	Anthophora_dispar	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
37	1.86	41.27	Anthophora_dispar	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
17	1.92	41.31	Bombus_pascuorum	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
1	1.92	41.27	Bombus_terrestris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	4
2	1.91	41.30	Bombus_terrestris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	2
3	1.90	41.28	Bombus_terrestris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
5	1.87	41.28	Bombus_terrestris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
14	1.93	41.31	Bombus_terrestris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
20	1.91	41.31	Bombus_terrestris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
23	1.88	41.29	Bombus_terrestris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
25	1.87	41.30	Bombus_terrestris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
32	1.87	41.28	Bombus_terrestris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
37	1.86	41.27	Bombus_terrestris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	3
12	1.92	41.29	Eucera_nigrilabris	Solitary	Bee	Large_bee	Long-tongued_large_bees	Apidae	Rosmarinus_officinalis	ROF	ROF	1
34	1.84	41.28	Halictus_tetrazonius	Solitary	Bee	Large_bee	Short-tongued_large_bees	Halictidae	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
36	1.84	41.27	Halictus_tetrazonius	Solitary	Bee	Large_bee	Short-tongued_large_bees	Halictidae	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
