Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	eficient	Nom_planta	Codi_planta	Plant	Frequencia
9	1.9	41.32	Andrena_djelfensis	Short-tongued_small_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
14	1.93	41.31	Andrena_djelfensis	Short-tongued_small_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
26	1.91	41.29	Andrena_djelfensis	Short-tongued_small_bees	eficient	Rosmarinus_officinalis	ROF	ROF	1
10	1.91	41.28	Andrena_djelfensis	Short-tongued_small_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	2
14	1.93	41.31	Andrena_djelfensis	Short-tongued_small_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
30	1.9	41.3	Andrena_djelfensis	Short-tongued_small_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
37	1.86	41.27	Andrena_djelfensis	Short-tongued_small_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
10	1.91	41.28	Andrena_djelfensis	Short-tongued_small_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
16	1.89	41.3	Andrena_djelfensis	Short-tongued_small_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
21	1.88	41.3	Andrena_djelfensis	Short-tongued_small_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	1
37	1.86	41.27	Andrena_djelfensis	Short-tongued_small_bees	eficient	Thymus_vulgaris_Hermaphrodite	TVUH	TVU	3
24	1.92	41.31	Andrena_nana	Short-tongued_medium-sized_bees	eficient	Biscutella_laevigata	BLA	BLA	1
38	1.88	41.27	Andrena_nana	Short-tongued_medium-sized_bees	eficient	Cistus_salviifolius	CSA	CSA	1
20	1.91	41.31	Ceratina_cyanea	Short-tongued_medium-sized_bees	eficient	Aphyllanthes_monspeliensis	AMO	AMO	1
15	1.88	41.3	Ceratina_cyanea	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
7	1.86	41.3	Hylaeus_garrulus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
9	1.9	41.32	Hylaeus_garrulus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
4	1.88	41.28	Hylaeus_hyalinatus	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
19	1.92	41.31	Lasioglossum_bimaculatum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
22	1.94	41.31	Lasioglossum_bimaculatum	Short-tongued_medium-sized_bees	eficient	Thymus_vulgaris_Female	TVUF	TVU	1
38	1.88	41.27	Lasioglossum_griseolum	Short-tongued_small_bees	eficient	Fumana	FLA	FLA	1
39	1.88	41.26	Lasioglossum_griseolum	Short-tongued_small_bees	eficient	Fumana	FLA	FLA	1
11	1.87	41.29	Lasioglossum_griseolum	Short-tongued_small_bees	eficient	Helianthemum_oelandicum	HOE	HOE	1
22	1.94	41.31	Lasioglossum_griseolum	Short-tongued_small_bees	eficient	Orobanche_latisquama	OLA	OLA	1
