Parcela	X	Y	Nom_definitiu	Functional_group_Rocka	Nom_planta	Codi_planta	Plant	Frequencia
38	1.88	41.27	Rodanthidium_sticticum	Short-tongued_large_bees	Argyrolobium_zanonii	AZA	AZA	1
38	1.88	41.27	Rodanthidium_sticticum	Short-tongued_large_bees	Fumana	FLA	FLA	1
8	1.87	41.30	Rodanthidium_sticticum	Short-tongued_large_bees	Helianthemum_oelandicum	HOE	HOE	1
17	1.92	41.31	Rodanthidium_sticticum	Short-tongued_large_bees	Helianthemum_oelandicum	HOE	HOE	1
35	1.83	41.28	Rodanthidium_sticticum	Short-tongued_large_bees	Helianthemum_oelandicum	HOE	HOE	1
15	1.88	41.30	Rodanthidium_sticticum	Short-tongued_large_bees	Orobanche_latisquama	OLA	OLA	1
20	1.91	41.31	Rodanthidium_sticticum	Short-tongued_large_bees	Orobanche_latisquama	OLA	OLA	1
22	1.94	41.31	Rodanthidium_sticticum	Short-tongued_large_bees	Orobanche_latisquama	OLA	OLA	1
34	1.84	41.28	Rodanthidium_sticticum	Short-tongued_large_bees	Orobanche_latisquama	OLA	OLA	3
38	1.88	41.27	Rodanthidium_sticticum	Short-tongued_large_bees	Orobanche_latisquama	OLA	OLA	1
8	1.87	41.30	Rodanthidium_sticticum	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
11	1.87	41.29	Rodanthidium_sticticum	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
14	1.93	41.31	Rodanthidium_sticticum	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
31	1.85	41.30	Rodanthidium_sticticum	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
39	1.88	41.26	Rodanthidium_sticticum	Short-tongued_large_bees	Rosmarinus_officinalis	ROF	ROF	1
34	1.84	41.28	Rodanthidium_sticticum	Short-tongued_large_bees	Thymus_vulgaris_Female	TVUF	TVU	2
2	1.91	41.30	Andrena_fulva	Short-tongued_medium-sized_bees	Rosmarinus_officinalis	ROF	ROF	1
19	1.92	41.31	Halictus_quadricinctus	Short-tongued_medium-sized_bees	Thymus_vulgaris_Female	TVUF	TVU	1
8	1.87	41.30	Andrena_djelfensis	Short-tongued_small_bees	Biscutella_laevigata	BLA	BLA	1
