Parcela	Nom_definitiu	Codi_planta	Frequencia
35	Anthophora_dispar	CSP	2
35	Anthophora_dispar	ROF	1
37	Anthophora_dispar	ROF	1
15	Anthrenus_1	ECH	1
19	Anthrenus_1	EFL	3
30	Anthrenus_1	CSA	1
30	Anthrenus_1	EFL	2
33	Anthrenus_1	CSA	3
25	Anthrenus_2	EFL	1
33	Anthrenus_2	CSA	1
38	Anthrenus_3	CSA	1
3	Aplocnemus_calidus	ROF	1
31	Aplocnemus_calidus	ROF	1
34	Aplocnemus_calidus	ROF	1
31	Attalus_pictus	ROF	7
1	Bibio_sp	ROF	1
2	Bibio_sp	ROF	2
3	Bibio_sp	ROF	52
4	Bibio_sp	ROF	16
5	Bibio_sp	ROF	4
7	Bibio_sp	ROF	1
12	Bibio_sp	ROF	16
14	Bibio_sp	ROF	3
26	Bibio_sp	ROF	3
27	Bibio_sp	ROF	1
30	Bibio_sp	ROF	1
17	Bombus_pascuorum	ROF	1
1	Bombus_terrestris	ROF	4
2	Bombus_terrestris	ROF	2
3	Bombus_terrestris	ROF	1
5	Bombus_terrestris	ROF	1
14	Bombus_terrestris	ROF	1
20	Bombus_terrestris	ROF	1
23	Bombus_terrestris	ROF	1
25	Bombus_terrestris	ROF	1
32	Bombus_terrestris	ROF	1
37	Bombus_terrestris	ROF	3
21	Bombylius_cruciatus	ROF	1
2	Bombylius_discolor	ROF	2
21	Bombylius_discolor	ROF	1
32	Bombylius_discolor	TVUF	1
40	Bombylius_discolor	ROF	1
37	Bombylius_sp_1	ROF	1
18	Braconidae	TVUF	1
37	Bruchid_2	CAL	1
29	Bruchidius_1	EFL	3
14	Bruchidius_2	EFL	1
29	Butterfly	TVUH	2
7	Calliphoridae_3	TVUF	1
24	Calliphoridae_3	ROF	2
25	Callophrys_rubi	ROF	1
8	Ceratina_cyanea	ROF	1
15	Ceratina_cyanea	TVUF	1
20	Ceratina_cyanea	AMO	1
3	Chalcididae_1	TVUF	1
3	Chalcididae_3	ROF	1
3	Chalcididae_3	TVUF	1
9	Chalcididae_4	EFL	1
21	Chalcididae_5	TVUF	1
28	Chalcididae_6	EFL	1
8	Chamaesyrphus	HOE	2
8	Chamaesyrphus	TVUF	2
11	Chamaesyrphus	TVUF	1
13	Chamaesyrphus	ROF	1
17	Chamaesyrphus	ROF	1
17	Chamaesyrphus	TVUH	1
19	Chamaesyrphus	EFL	1
21	Chamaesyrphus	FLA	1
21	Chamaesyrphus	HOE	2
33	Chamaesyrphus	TVUF	1
34	Chamaesyrphus	HOE	1
38	Chamaesyrphus	TVUH	1
4	Chrysotoxum_cautum	ROF	1
5	Chrysotoxum_cautum	EFL	1
10	Chrysotoxum_cautum	ROF	1
12	Chrysotoxum_cautum	TVUH	1
14	Chrysotoxum_cautum	ROF	1
15	Chrysotoxum_cautum	TVUF	1
16	Chrysotoxum_cautum	EFL	1
19	Chrysotoxum_cautum	EFL	1
19	Chrysotoxum_cautum	ROF	1
23	Chrysotoxum_cautum	ROF	1
31	Chrysotoxum_cautum	ROF	1
31	Chrysotoxum_cautum	TVUH	1
37	Chrysotoxum_cautum	EFL	1
37	Chrysotoxum_cautum	ESE	2
37	Chrysotoxum_cautum	ROF	1
37	Chrysotoxum_cautum	TVUF	1
13	Chrysotoxum_intermedium	TVUF	1
16	Chrysura_dichroa	UMBE	1
20	Clanoptilus_abdominalis	ROF	1
31	Clanoptilus_abdominalis	ROF	1
32	Clanoptilus_abdominalis	CSA	2
34	Clanoptilus_abdominalis	ROF	1
37	Clanoptilus_abdominalis	CAL	1
37	Clanoptilus_abdominalis	ESE	1
37	Clanoptilus_abdominalis	ROF	1
38	Clanoptilus_abdominalis	CSA	2
35	Clytra_quadripunctata	HOE	1
30	Coleòpter_vermell_gruixut	CSA	1
37	Coleoptera_3	EFL	1
38	Conophorus	TVUH	1
30	Conòpid_llarg_vermell	ROF	1
20	Cryptocephalus_ramburi	AMO	1
5	Danacea_longiceps	ROF	1
7	Dasytes_nigroaeneus	ROF	1
14	Dasytes_nigroaeneus	EFL	1
17	Dasytes_nigroaeneus	HOE	1
28	Dasytes_nigroaeneus	TVUH	1
29	Dasytes_nigroaeneus	EFL	1
30	Dasytes_nigroaeneus	ROF	1
31	Dasytes_nigroaeneus	ROF	4
33	Dasytes_nigroaeneus	CSA	1
37	Dasytes_nigroaeneus	CAL	4
38	Dasytes_nigroaeneus	ROF	1
20	Diodontus	TVUH	1
28	Dipter_2	EFL	1
31	Dipter_blanc	OLA	1
33	Dipter_elipse_1	CSA	2
19	Dipter_gran_1	EFL	1
21	Dipter_molt_llarg,_mes_que_apis,_ales_fosques,_grisos	ROF	1
2	Empididae	TVUF	1
3	Empididae	TVUF	5
7	Empididae	TVUF	3
9	Empididae	TVUH	2
11	Empididae	TVUF	2
21	Empididae	TVUF	1
23	Empididae	TVUF	2
24	Empididae	EFL	1
24	Empididae	HOE	1
24	Empididae	TVUH	2
27	Empididae	TVUH	1
28	Empididae	TVUF	1
29	Empididae	HOE	1
29	Empididae	TVUF	2
29	Empididae	TVUH	2
30	Empididae	TVUF	1
30	Empididae	TVUH	1
32	Empididae	TVUF	1
33	Empididae	CSA	1
33	Empididae	TVUF	2
33	Empididae	TVUH	1
35	Empididae	EFL	1
37	Empididae	TVUH	3
38	Empididae	TVUF	1
7	Empididae_2	ROF	1
9	Empididae_2	ROF	1
19	Empididae_2	ROF	1
22	Empididae_2	ROF	2
36	Empididae_2	TVUF	1
6	Epysirphus_balteatus	ROF	1
35	Eristalinus_aeneus	TVUF	1
1	Eristalis_tenax	TVUH	1
17	Escarabat_2	EFL	1
22	Escarabat_petit_1	FLA	1
21	Escarabat_rodonet_com_una_marieta_però_blau	HOE	1
12	Eucera_nigrilabris	ROF	1
19	Eumenes_coarctatus	TVUF	1
22	Eumenes_coarctatus	TVUF	1
9	Euodynerus_bidentoides	TVUH	1
18	Euodynerus_bidentoides	TVUF	1
14	Eurydema_oleracea	EFL	2
11	Fals_conòpid	TVUF	1
36	Fals_conòpid	TVUF	1
36	Fals_conòpid	TVUH	1
37	Fals_conòpid	EFL	2
38	Fals_conòpid	TVUF	1
38	Fals_conòpid	TVUH	4
18	Gasteruption_1	TVUF	1
34	Gonopteryx_cleopatra	AMO	1
9	Gymnosoma	EFL	1
30	Gymnosoma	EFL	2
40	Hadrodemus_m-flavum	TVUH	1
19	Halictus_quadricinctus	TVUF	1
15	Halictus_smaragdalus	ROF	1
18	Halictus_smaragdalus	ROF	1
21	Halictus_smaragdalus	HOE	1
34	Halictus_tetrazonius	TVUH	1
36	Halictus_tetrazonius	TVUH	1
38	Halictus_tetrazonius	TVUH	1
17	Heteropter_marró_sense_punts	EFL	1
35	Himenopter_molt_petit	HOE	1
9	Himenòpter_parasitoid	ROF	1
7	Hylaeus_garrulus	TVUF	1
9	Hylaeus_garrulus	TVUF	1
18	Hylaeus_garrulus	TVUF	1
34	Hylaeus_garrulus	DPE	1
4	Hylaeus_hyalinatus	TVUF	1
4	Hylaeus_hyalinatus	TVUH	1
6	Hylaeus_hyalinatus	TVUH	2
8	Hylaeus_hyalinatus	HOE	1
9	Hylaeus_hyalinatus	TVUH	1
18	Hylaeus_hyalinatus	TVUF	4
20	Hylaeus_hyalinatus	TVUH	1
21	Hylaeus_hyalinatus	HOE	1
29	Hylaeus_hyalinatus	TVUF	1
33	Hylaeus_hyalinatus	TVUF	1
38	Hylaeus_hyalinatus	TVUF	2
18	Hylaeus_sp_1	TVUF	1
16	Ichneumonidae_6	TVUH	1
20	Ichneumonidae_6	ROF	1
34	Ichneumonidae_6	TVUH	2
7	Lasioglossum_albocinctum	ROF	1
12	Lasioglossum_albocinctum	ROF	1
19	Lasioglossum_bimaculatum	TVUF	1
21	Lasioglossum_bimaculatum	ROF	1
22	Lasioglossum_bimaculatum	ROF	1
22	Lasioglossum_bimaculatum	TVUF	1
24	Lasioglossum_bimaculatum	HOE	1
3	Lasioglossum_griseolum	ROF	1
11	Lasioglossum_griseolum	HOE	1
22	Lasioglossum_griseolum	OLA	1
26	Lasioglossum_griseolum	TVUF	1
30	Lasioglossum_griseolum	ROF	1
30	Lasioglossum_griseolum	TVUH	1
38	Lasioglossum_griseolum	FLA	1
38	Lasioglossum_griseolum	TVUF	1
38	Lasioglossum_griseolum	TVUH	4
39	Lasioglossum_griseolum	FLA	1
8	Lasioglossum_ibericum	ROF	1
1	Lasioglossum_interruptum	CAL	1
3	Lasioglossum_interruptum	ROF	1
12	Lasioglossum_interruptum	ROF	1
16	Lasioglossum_interruptum	OLA	1
16	Lasioglossum_interruptum	ROF	1
16	Lasioglossum_interruptum	TVUF	1
30	Lasioglossum_interruptum	ROF	1
34	Lasioglossum_interruptum	TVUH	1
37	Lasioglossum_interruptum	TVUF	1
37	Lasioglossum_interruptum	TVUH	1
1	Lasioglossum_malachurum	TVUF	1
6	Lasioglossum_mediterraneum	TVUF	1
14	Lasioglossum_mediterraneum	ROF	1
34	Lasioglossum_mediterraneum	TVUF	1
34	Lasioglossum_mediterraneum	TVUH	1
36	Lasioglossum_mediterraneum	ROF	1
36	Lasioglossum_mediterraneum	TVUF	9
36	Lasioglossum_mediterraneum	TVUH	1
37	Lasioglossum_mediterraneum	TVUH	1
39	Lasioglossum_mediterraneum	CSA	2
9	Lasioglossum_soror	ROF	1
9	Lasioglossum_soror	TVUH	1
2	Lasioglossum_subhirtum	ROF	3
3	Lasioglossum_subhirtum	ROF	1
12	Lasioglossum_subhirtum	ROF	1
19	Lasioglossum_subhirtum	ROF	3
19	Lasioglossum_subhirtum	TVUF	2
38	Lasioglossum_subhirtum	TVUF	1
1	Lasioglossum_transitorium_planulum	ROF	2
3	Lasioglossum_transitorium_planulum	ROF	5
4	Lasioglossum_transitorium_planulum	ROF	2
4	Lasioglossum_transitorium_planulum	TVUF	1
5	Lasioglossum_transitorium_planulum	ROF	3
5	Lasioglossum_transitorium_planulum	TVUF	4
8	Lasioglossum_transitorium_planulum	ROF	1
8	Lasioglossum_transitorium_planulum	TVUF	1
9	Lasioglossum_transitorium_planulum	ROF	2
9	Lasioglossum_transitorium_planulum	TVUF	2
10	Lasioglossum_transitorium_planulum	ROF	2
12	Lasioglossum_transitorium_planulum	ROF	3
12	Lasioglossum_transitorium_planulum	TVUF	1
12	Lasioglossum_transitorium_planulum	TVUH	6
