Plot	Species	Plant	X	Y
4	TVUF	6	38.94063367	13.42857143
4	TVUF	7	36.01641214	6.714285714
4	TVUF	8	30.46148084	4.571428571
4	TVUF	9	25.6292286	3.228571429
4	TVUF	10	17.13400412	6.185714286
4	TVUH	1	38.00766127	26.57142857
4	TVUH	2	34.56669561	25.65714286
4	TVUH	3	24.32442924	25.37142857
4	TVUH	4	32.94849924	10.42857143
4	TVUH	5	20.01464154	14.32857143
4	TVUH	6	14.68553042	10.37142857
4	TVUH	7	28.22616068	5.614285714
4	TVUH	8	33.04520149	5.571428571
4	TVUH	9	34.74811448	4.185714286
4	TVUH	10	40.99630557	10.04285714
7	ROF	1	34.28800759	5.370185072
7	ROF	2	23.92537455	4.684482408
7	ROF	3	9.198671277	5.047142567
7	ROF	4	34.10176937	12.60719951
7	ROF	5	25.89579012	17.90835876
7	ROF	6	7.203199783	14.86621924
7	ROF	7	12.92170022	25.1366687
7	ROF	8	12.7738594	36.13902786
7	ROF	9	37.59658328	25.31738865
7	ROF	10	34.83934648	24.9358552
7	TVUF	1	20.79750525	2.457799471
7	TVUF	2	20.94350214	7.77461867
7	TVUF	3	20.13628907	12.61728696
7	TVUF	4	21.91168056	12.71661582
7	TVUF	5	-3.041746322	0.221191784
7	TVUF	6	-2.956816487	13.04962375
7	TVUF	7	17.96347366	45.54557657
7	TVUF	8	15.57914718	45.7325605
7	TVUF	9	22.81749034	46.04258694
7	TVUF	10	22.43991594	49.51669717
7	TVUH	1	22.27482883	18.32784218
7	TVUH	2	20.34910176	18.48623144
7	TVUH	3	-3.35424039	10.07724222
7	TVUH	4	19.86078232	15.60040675
7	TVUH	5	16.86166362	36.49932886
7	TVUH	6	22.19770863	15.26524303
7	TVUH	7	33.16992746	45.72845231
7	TVUH	8	16.97609654	43.22090706
7	TVUH	9	19.31540912	43.11974781
7	TVUH	10	20.37849637	46.8687411
8	ROF	1	35.9083732	6.091877622
8	ROF	2	0.860082898	4.223210199
8	ROF	3	3.488139058	15.24359609
8	ROF	4	35.28813028	25.44317847
8	ROF	5	22.61077424	27.50609821
8	ROF	6	29.76549008	2.723294852
8	ROF	7	24.3051551	2.681645169
8	ROF	8	25.23486734	15.19509886
8	ROF	9	28.88478927	14.82709926
8	ROF	10	22.79713807	25.22883498
8	TVUF	1	17.44621347	4.677707198
8	TVUF	2	17.27695597	2.625886514
8	TVUF	3	19.6578982	13.03356681
8	TVUF	4	19.99285145	26.39634295
8	TVUF	5	19.53087984	24.13397879
8	TVUF	6	23.17979846	32.28967913
8	TVUF	7	23.28128272	31.11743054
8	TVUF	8	23.20789099	33.6260809
8	TVUF	9	21.06964815	31.33538593
8	TVUF	10	20.92467063	33.01002678
8	TVUH	1	24.39434889	12.9247208
8	TVUH	2	24.63032614	12.1504957
8	TVUH	3	28.52946894	12.49543183
8	TVUH	4	25.09871891	31.86118026
8	TVUH	5	22.49238429	-10.69730926
8	TVUH	6	37.91116992	37.08206405
8	TVUH	7	32.80715858	42.84838186
8	TVUH	8	23.69524622	-11.76116333
8	TVUH	9	23.75830391	-10.47570435
8	TVUH	10	-3.263147994	2.64665492
9	ROF	1	32.80100833	18.10403025
9	ROF	2	24.87700206	15.76611639
9	ROF	3	10.52402472	14.241815
9	ROF	4	42.91825755	-4.663285069
9	ROF	5	33.82778444	33.02056626
9	ROF	6	35.64892865	23.69288942
9	ROF	7	39.76513265	25.27326386
9	ROF	8	44.63487965	20.77801346
9	ROF	9	17.31673276	6.432168219
9	ROF	10	17.3799379	2.701281933
9	TVUF	1	39.12811338	-5.43591257
9	TVUF	2	38.26940884	16.13903901
9	TVUF	3	18.05679855	16.98087245
9	TVUF	4	11.16866796	25.47372498
9	TVUF	5	13.75491408	13.63714839
9	TVUF	6	30.58066341	26.31876787
9	TVUF	7	34.1818316	27.55370285
9	TVUF	8	26.92676688	36.69434658
9	TVUF	9	37.48733745	18.64572535
9	TVUF	10	38.96909219	-2.726219681
9	TVUH	1	43.08908359	13.75899659
9	TVUH	2	39.41177411	18.72282579
9	TVUH	3	35.67789972	15.67927695
9	TVUH	4	36.27060162	11.93049894
9	TVUH	5	36.02265056	-4.554016416
9	TVUH	6	33.93540533	-4.826265794
9	TVUH	7	37.91649298	-1.993950014
9	TVUH	8	40.50628055	-4.490934243
9	TVUH	9	47.12142396	13.58930185
9	TVUH	10	27.97474254	24.93538689
10	ROF	1	3.442592919	4.599124061
10	ROF	2	9.293813816	12.30440515
10	ROF	3	34.43811314	7.628842024
10	ROF	4	34.20790608	16.90295483
10	ROF	5	9.402320608	17.84539871
10	ROF	6	21.04018746	14.86695125
10	ROF	7	41.29337868	29.98237678
10	ROF	8	24.72130734	35.49812345
10	ROF	9	13.26727891	34.84711534
10	ROF	10	13.38320051	28.23547227
10	TVUF	1	39.45170477	4.802398063
10	TVUF	2	4.986873968	24.73203574
10	TVUF	3	9.811109588	24.33172766
10	TVUF	4	11.85951034	26.22094291
10	TVUF	5	24.95060931	18.83419165
10	TVUF	6	13.58465344	14.96172499
10	TVUF	7	-0.325572591	15.18939735
10	TVUF	8	32.83954389	3.479671294
10	TVUF	9	9.878399812	34.89019431
10	TVUF	10	-3.328237831	30.0919736
10	TVUH	1	6.863620244	21.26750083
10	TVUH	2	6.618809846	26.69434164
10	TVUH	3	7.851129518	26.67867656
10	TVUH	4	-2.099642967	19.2797457
10	TVUH	5	-1.878190944	35.44642216
10	TVUH	6	2.930048888	31.36835132
10	TVUH	7	11.73641761	41.20555849
10	TVUH	8	-0.376223019	40.10529545
10	TVUH	9	19.59936556	27.13950407
10	TVUH	10	7.675628398	34.91819564
12	ROF	1	5.776324927	5.127724801
12	ROF	2	5.286992655	2.978845209
12	ROF	3	13.50419765	4.767839298
12	ROF	4	17.33999537	4.076658593
12	ROF	5	21.98110917	8.443861046
12	ROF	6	20.96739554	5.531782998
12	ROF	7	30.73886508	1.851628529
12	ROF	8	40.47799552	16.46032418
12	ROF	9	41.19044957	14.30345014
12	ROF	10	47.05222924	14.42140208
12	TVUF	1	43.11345223	8.792161379
12	TVUF	2	44.73203367	4.491556715
12	TVUF	3	22.06602192	18.07648922
12	TVUF	4	15.02783941	18.29288122
12	TVUF	5	12.64919858	17.81802476
12	TVUF	6	18.26265364	15.04225877
12	TVUF	7	1.463931844	5.11492014
12	TVUF	8	4.247805198	9.17697871
12	TVUF	9	8.231748559	12.52570248
12	TVUF	10	-4.559453035	3.00465778
12	TVUH	1	46.32730927	10.82369879
12	TVUH	2	17.96699469	12.90652259
12	TVUH	3	14.2945185	16.29535408
12	TVUH	4	10.46585706	15.49821311
12	TVUH	5	5.469193724	13.43523992
12	TVUH	6	47.75781801	9.443166613
12	TVUH	7	-3.970845119	14.37296116
12	TVUH	8	-6.548308238	11.76894023
12	TVUH	9	-7.069256957	0.416422486
12	TVUH	10	-7.88270298	4.648532376
13	ROF	1	-15.5870951	11.85451615
13	ROF	2	-26.7067562	11.67955644
13	ROF	3	-25.51171663	19.5864714
13	ROF	4	-12.97954753	26.37106847
13	ROF	5	-14.61522635	36.28938821
13	ROF	6	-23.67282536	31.44757284
13	ROF	7	-13.49626186	-1.47622249
13	ROF	8	1.390605636	-3.696534016
13	ROF	9	-2.984034927	-10.47865249
13	ROF	10	14.5283945	-10.16114923
13	TVUF	1	-14.15015754	8.100901528
13	TVUF	2	NA	NA
13	TVUF	3	NA	NA
13	TVUF	4	6.497225755	3.474723993
13	TVUF	5	NA	NA
13	TVUF	6	18.42364548	-2.736223948
13	TVUF	7	27.84820626	-3.364159181
13	TVUF	8	38.16408952	-8.173874304
13	TVUF	9	21.65910398	-2.37063107
13	TVUF	10	20.20084726	-3.379589655
13	TVUH	1	-15.44174895	7.849810055
13	TVUH	2	-13.68171914	17.27610423
13	TVUH	3	-20.53625149	17.06335809
13	TVUH	4	-27.37659266	18.15153454
13	TVUH	5	10.59717958	-3.006220789
13	TVUH	6	NA	NA
13	TVUH	7	2.881780701	3.480774683
13	TVUH	8	10.15744753	3.532314895
13	TVUH	9	27.36311428	-2.490672866
13	TVUH	10	33.30915217	-3.026486955
17	ROF	1	-14.50407316	0.230239426
17	ROF	2	-6.225184489	5.007447877
17	ROF	3	-27.76027664	5.543193156
17	ROF	4	-39.07318715	-1.705999497
17	ROF	5	-34.68551278	0.661358936
17	ROF	6	0.140746405	-1.766767482
17	ROF	7	7.600305861	6.394056476
17	ROF	8	13.12092188	6.968389913
17	ROF	9	18.69155752	5.833398971
17	ROF	10	21.81045101	6.943519511
17	TVUF	1	-13.08456425	4.798175427
17	TVUF	2	-8.262187578	5.387341885
17	TVUF	3	-53.74923413	-0.18031739
17	TVUF	4	-41.56708631	-1.097176498
17	TVUF	5	-33.93098045	1.799744465
17	TVUF	6	6.437112663	4.605485569
17	TVUF	7	23.25839916	5.154983456
17	TVUF	8	19.58552582	9.129905335
17	TVUF	9	14.59795056	6.49377508
17	TVUF	10	-6.790874625	-2.584256505
17	TVUH	1	-11.24842033	-0.256204183
17	TVUH	2	-10.55798784	4.611131596
17	TVUH	3	-44.33361192	7.289669791
17	TVUH	4	-51.939048	-0.501485742
17	TVUH	5	-2.517905226	-0.912460783
17	TVUH	6	-42.1906308	-2.86566567
17	TVUH	7	-31.57858051	2.180230957
17	TVUH	8	7.424986251	5.462190087
17	TVUH	9	12.99531519	5.876141491
17	TVUH	10	21.90365925	5.296768451
18	ROF	1	9.608690465	24.54889703
18	ROF	2	5.564021547	26.69216826
18	ROF	3	5.03239488	24.94944864
18	ROF	4	15.11311462	13.94319371
18	ROF	5	21.91895763	14.44620635
18	ROF	6	25.21738205	14.41079239
18	ROF	7	33.41975329	11.19522179
18	ROF	8	22.12273142	4.127175459
18	ROF	9	16.40156096	5.258035986
18	ROF	10	3.68587469	4.324208136
18	TVUF	1	9.146833076	27.9151975
18	TVUF	2	9.791291499	15.88753345
18	TVUF	3	12.59427339	15.64153457
18	TVUF	4	42.53613792	8.879611026
18	TVUF	5	43.14689917	8.363197378
18	TVUF	6	35.64269123	2.298798586
18	TVUF	7	34.65095476	2.547460865
18	TVUF	8	37.00957759	6.900949581
18	TVUF	9	26.79503258	3.194238209
18	TVUF	10	25.03897076	4.775876835
18	TVUH	1	7.164413187	27.58404549
18	TVUH	2	6.898151753	27.0652289
18	TVUH	3	5.732462599	14.17117055
18	TVUH	4	41.96673636	6.856285144
18	TVUH	5	41.89141064	6.118801017
18	TVUH	6	32.55509818	1.462625881
18	TVUH	7	24.20227714	3.044583779
18	TVUH	8	23.93606051	2.490512868
18	TVUH	9	7.842658402	3.974622377
18	TVUH	10	7.080842407	3.333356672
21	ROF	1	44.90555029	1.198220407
21	ROF	2	53.39450077	7.110495223
21	ROF	3	44.80344249	12.32155204
21	ROF	4	51.25373787	13.98765954
21	ROF	5	56.6056451	-35.20525126
21	ROF	6	53.99897892	-25.29962804
21	ROF	7	43.86696813	25.99553643
21	ROF	8	52.92188754	25.33848735
21	ROF	9	58.16060098	31.85944132
21	ROF	10	38.71635913	-32.79754941
21	TVUF	1	47.97549413	-11.70126176
21	TVUF	2	49.41725622	-4.922704398
21	TVUF	3	51.20997739	-4.102341186
21	TVUF	4	49.37349573	0.987294873
21	TVUF	5	52.62139888	-33.812851
21	TVUF	6	54.0091897	-31.2119612
21	TVUF	7	54.69710451	-32.27714973
21	TVUF	8	56.42185107	-32.78325432
