	AMO	AZA	BLA	CAL	CSA	CSP	DPE	ECH	EFL	EMU	ESE	FAB	FLA	HOE	LIN	OLA	POT	PRUNUS	RGR	ROF	SHI	TVU	UMBE
Dipter_gran_1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dipter_molt_llarg,_mes_que_apis,_ales_fosques,_grisos	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Empididae	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	34	0
Empididae_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0
Epysirphus_balteatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eristalinus_aeneus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Eristalis_tenax	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Escarabat_2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escarabat_petit_1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Escarabat_rodonet_com_una_marieta_però_blau	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Eucera_nigrilabris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Eumenes_coarctatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Euodynerus_bidentoides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Eurydema_oleracea	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fals_conòpid	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Gasteruption_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gonopteryx_cleopatra	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gymnosoma	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hadrodemus_m-flavum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Halictus_quadricinctus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Halictus_smaragdalus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
Halictus_tetrazonius	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Heteropter_marró_sense_punts	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Himenopter_molt_petit	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Himenòpter_parasitoid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Hylaeus_garrulus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Hylaeus_hyalinatus	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	14	0
Hylaeus_sp_1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ichneumonidae_6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0
Lasioglossum_albocinctum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Lasioglossum_bimaculatum	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	0
Lasioglossum_griseolum	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	2	0	7	0
Lasioglossum_ibericum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Lasioglossum_interruptum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	4	0	4	0
Lasioglossum_malachurum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Lasioglossum_mediterraneum	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0
Lasioglossum_soror	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Lasioglossum_subhirtum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0
Lasioglossum_transitorium_planulum	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	36	0	31	0
Leptidea_sinapis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Lobonyx_aeneus	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	2	0
