ROF	TVUF	TVUH	FUMANA	EFL	ECH	LATHYRUS	CAL	CSA	ILU	RGR	BLA	DPE	OLA	PRU	VCR	CSP	FAB	HOE	API	AMO	CORONILLA	EMU	ERO	COMP	MNE	AZA	VF1	PRUNUS	VF2	GALY	POTENTILLA	LFR	UmBELIFERA	Geranium_Robertianum	Geranium_rotundifolium	Medicago	Hippocrepis	GIL	Lotus_corniculatus	Linaria	ESE	Astragalus	Oprhys_lutea	ATET	SHI	Convolvulus_lanuginosus	Cistus_clusii	Oprhys_sphegodes	NAS
979.3	6776.5	2219.2	0	260	0	0	5	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	29478.2	24161.7	0	653	0	13	0	0	0	1	1	0	0	0	0	0	4	15	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	1	3	1	20	0	0	0	0	0	0	0	0	0	0	0	0
13708.8	10460.3	3069.4	2	494	0	0	0	1	0	2	0	0	0	14	0	271	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3051.2	3906.8	4927	4	0	0	0	0	0	0	0	5	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
13518.5	18496	14725.7	71	129	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
4268.7	15152.2	1605	16	8	0	0	0	65	0	35	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
792.8	6383.3	6244.8	43	0	0	0	0	0	0	0	0	195	15	0	0	0	0	49	0	33	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0
726	3273.3	852	0	59	0	0	0	0	0	0	0	0	0	18	0	252	22	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	1	4	7	0	0	0	0	0	0
1429	74729.6	36548.7	58	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1780	28004.4	24603.4	1	1116	0	6	25	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	153	0	0	2	1	0	0	0	0
3323.7	10315	34088.9	296	0	0	0	0	9	0	0	3	0	64	12	0	0	0	0	0	2	0	0	0	0	4	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
5271.4	12680.1	8163.4	70	0	0	0	0	20	0	0	0	0	8	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3740	2429.2	1171	0	67	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
