Parcela	Nom_definitiu	forager	Plant	Frequencia
1	Lasioglossum_transitorium_planulum	central_place	ROF	2
3	Lasioglossum_transitorium_planulum	central_place	ROF	5
4	Lasioglossum_transitorium_planulum	central_place	ROF	2
5	Lasioglossum_transitorium_planulum	central_place	ROF	3
8	Lasioglossum_transitorium_planulum	central_place	ROF	1
9	Lasioglossum_transitorium_planulum	central_place	ROF	2
10	Lasioglossum_transitorium_planulum	central_place	ROF	2
12	Lasioglossum_transitorium_planulum	central_place	ROF	3
14	Lasioglossum_transitorium_planulum	central_place	ROF	5
18	Lasioglossum_transitorium_planulum	central_place	ROF	2
19	Lasioglossum_transitorium_planulum	central_place	ROF	1
20	Lasioglossum_transitorium_planulum	central_place	ROF	1
21	Lasioglossum_transitorium_planulum	central_place	ROF	1
24	Lasioglossum_transitorium_planulum	central_place	ROF	3
28	Lasioglossum_transitorium_planulum	central_place	ROF	1
31	Lasioglossum_transitorium_planulum	central_place	ROF	1
38	Lasioglossum_transitorium_planulum	central_place	ROF	1
4	Lasioglossum_transitorium_planulum	central_place	TVU	1
5	Lasioglossum_transitorium_planulum	central_place	TVU	4
8	Lasioglossum_transitorium_planulum	central_place	TVU	1
9	Lasioglossum_transitorium_planulum	central_place	TVU	2
8	Nomada_1	lineal	TVU	1
5	Nomada_sheppardana	lineal	TVU	1
1	Andrena_angustior_impressa	central_place	ROF	1
3	Andrena_angustior_impressa	central_place	ROF	1
5	Andrena_angustior_impressa	central_place	ROF	1
6	Andrena_angustior_impressa	central_place	ROF	2
8	Andrena_angustior_impressa	central_place	ROF	1
12	Andrena_angustior_impressa	central_place	ROF	2
17	Andrena_angustior_impressa	central_place	ROF	1
18	Andrena_angustior_impressa	central_place	ROF	2
21	Andrena_angustior_impressa	central_place	ROF	1
24	Andrena_angustior_impressa	central_place	ROF	1
32	Andrena_angustior_impressa	central_place	ROF	1
33	Andrena_angustior_impressa	central_place	ROF	2
38	Andrena_angustior_impressa	central_place	ROF	2
2	Andrena_angustior_impressa	central_place	TVU	1
24	Andrena_lepida	central_place	EFL	1
22	Andrena_lepida	central_place	TVU	1
37	Andrena_lepida	central_place	TVU	1
37	Andrena_nana	central_place	TVU	1
38	Andrena_nana	central_place	TVU	1
37	Andrena_nana	central_place	TVU	1
16	Andrena_vulpecula	central_place	HOE	1
35	Andrena_vulpecula	central_place	HOE	2
8	Ceratina_cyanea	central_place	ROF	1
21	Halictus_smaragdalus	central_place	HOE	1
15	Halictus_smaragdalus	central_place	ROF	1
18	Halictus_smaragdalus	central_place	ROF	1
34	Hylaeus_garrulus	central_place	DPE	1
18	Hylaeus_garrulus	central_place	TVU	1
8	Hylaeus_hyalinatus	central_place	HOE	1
21	Hylaeus_hyalinatus	central_place	HOE	1
18	Hylaeus_hyalinatus	central_place	TVU	4
29	Hylaeus_hyalinatus	central_place	TVU	1
33	Hylaeus_hyalinatus	central_place	TVU	1
38	Hylaeus_hyalinatus	central_place	TVU	2
4	Hylaeus_hyalinatus	central_place	TVU	1
6	Hylaeus_hyalinatus	central_place	TVU	2
9	Hylaeus_hyalinatus	central_place	TVU	1
20	Hylaeus_hyalinatus	central_place	TVU	1
18	Hylaeus_sp_1	central_place	TVU	1
24	Lasioglossum_bimaculatum	central_place	HOE	1
21	Lasioglossum_bimaculatum	central_place	ROF	1
22	Lasioglossum_bimaculatum	central_place	ROF	1
8	Lasioglossum_ibericum	central_place	ROF	1
16	Lasioglossum_interruptum	central_place	OLA	1
3	Lasioglossum_interruptum	central_place	ROF	1
12	Lasioglossum_interruptum	central_place	ROF	1
16	Lasioglossum_interruptum	central_place	ROF	1
30	Lasioglossum_interruptum	central_place	ROF	1
34	Lasioglossum_interruptum	central_place	TVU	1
37	Lasioglossum_interruptum	central_place	TVU	1
39	Lasioglossum_mediterraneum	central_place	CSA	2
14	Lasioglossum_mediterraneum	central_place	ROF	1
36	Lasioglossum_mediterraneum	central_place	ROF	1
34	Lasioglossum_mediterraneum	central_place	TVU	1
36	Lasioglossum_mediterraneum	central_place	TVU	1
37	Lasioglossum_mediterraneum	central_place	TVU	1
33	Lasioglossum_transitorium_planulum	central_place	CSA	2
18	Lasioglossum_transitorium_planulum	central_place	FLA	1
20	Lasioglossum_transitorium_planulum	central_place	HOE	1
35	Lasioglossum_transitorium_planulum	central_place	HOE	1
12	Lasioglossum_transitorium_planulum	central_place	TVU	1
13	Lasioglossum_transitorium_planulum	central_place	TVU	1
14	Lasioglossum_transitorium_planulum	central_place	TVU	1
23	Lasioglossum_transitorium_planulum	central_place	TVU	1
24	Lasioglossum_transitorium_planulum	central_place	TVU	1
28	Lasioglossum_transitorium_planulum	central_place	TVU	1
31	Lasioglossum_transitorium_planulum	central_place	TVU	2
32	Lasioglossum_transitorium_planulum	central_place	TVU	1
33	Lasioglossum_transitorium_planulum	central_place	TVU	1
36	Lasioglossum_transitorium_planulum	central_place	TVU	1
37	Lasioglossum_transitorium_planulum	central_place	TVU	1
38	Lasioglossum_transitorium_planulum	central_place	TVU	1
39	Lasioglossum_transitorium_planulum	central_place	TVU	1
12	Lasioglossum_transitorium_planulum	central_place	TVU	6
32	Lasioglossum_transitorium_planulum	central_place	TVU	1
37	Lasioglossum_transitorium_planulum	central_place	TVU	1
39	Lasioglossum_transitorium_planulum	central_place	TVU	1
29	Nomada_flavoguttata	lineal	TVU	1
30	Nomada_flavoguttata	lineal	TVU	1
22	Nomada_succinta	lineal	TVU	1
36	Nomada_succinta	lineal	TVU	1
38	Nomada_succinta	lineal	TVU	1
24	Osmia_gallarum	central_place	ROF	1
8	Osmia_rufohirta	central_place	FAB	1
20	Osmia_rufohirta	central_place	HOE	1
17	Osmia_rufohirta	central_place	TVU	1
34	Anaspis	lineal	AMO	1
17	Anaspis	lineal	EFL	1
37	Anaspis	lineal	ESE	1
35	Anaspis	lineal	HOE	1
37	Anaspis	lineal	SHI	1
24	Anthaxia	lineal	BLA	1
24	Anthaxia	lineal	HOE	1
26	Anthaxia	lineal	TVU	1
30	Anthrenus_1	lineal	CSA	1
33	Anthrenus_1	lineal	CSA	3
15	Anthrenus_1	lineal	ECH	1
19	Anthrenus_1	lineal	EFL	3
30	Anthrenus_1	lineal	EFL	2
33	Anthrenus_2	lineal	CSA	1
25	Anthrenus_2	lineal	EFL	1
38	Anthrenus_3	lineal	CSA	1
3	Aplocnemus_calidus	lineal	ROF	1
31	Aplocnemus_calidus	lineal	ROF	1
34	Aplocnemus_calidus	lineal	ROF	1
31	Attalus_pictus	lineal	ROF	7
37	Bruchid_2	lineal	CAL	1
29	Bruchidius_1	lineal	EFL	3
14	Bruchidius_2	lineal	EFL	1
37	Clanoptilus_abdominalis	lineal	CAL	1
32	Clanoptilus_abdominalis	lineal	CSA	2
38	Clanoptilus_abdominalis	lineal	CSA	2
37	Clanoptilus_abdominalis	lineal	ESE	1
20	Clanoptilus_abdominalis	lineal	ROF	1
31	Clanoptilus_abdominalis	lineal	ROF	1
34	Clanoptilus_abdominalis	lineal	ROF	1
37	Clanoptilus_abdominalis	lineal	ROF	1
