Population	Module	Species	Display	Depth	Shape	Simmetry	UV	Blue	Yellow	Red	Pollen	Nectar	Fenología
COLLSEROLA	D	Euphorbia_segetalis	108	0.0	D	A	11.688	10.718	46.148	31.446	0.135	0.090	4
COLLSEROLA	D	Euphorbia_serrata	84	0.0	D	A	12.830	13.198	48.659	25.313	0.766	0.020	4
COLLSEROLA	D	Fumana_laevis	73	0.0	D	A	18.388	7.230	35.088	39.294	0.426	0.000	5
COLLSEROLA	D	Lobularia_maritima	656	0.0	D	A	3.955	29.525	32.980	33.540	0.031	0.000	2
COLLSEROLA	D	Lotus_ornithopodioides	290	4.5	P	A	4.972	3.846	39.354	51.828	0.115	0.000	5
COLLSEROLA	D	Melilotus_elegans	223	2.5	P	Z	15.106	4.882	37.987	42.025	0.028	0.000	5
COLLSEROLA	E	Centranthus_ruber	13	13.0	T	Z	3.731	27.493	19.838	48.939	0.385	0.000	5.5
COLLSEROLA	E	Scabiosa_atropurpurea	43	8.6	T	A	2.958	28.566	24.347	44.129	64.861	7.926	4.5
GARRAF	A	Allium_sphaerocephalum	297	5.3	NT	A	10.614	20.521	14.843	54.022	0.294	0.123	5.5
GARRAF	A	Anagallis_arvensis	47	0.0	D	A	38.393	30.227	9.897	21.484	0.072	0.000	4.5
GARRAF	A	Dorycnium_hirsutum	21	5.4	T	Z	2.900	26.930	34.353	35.817	0.222	0.130	4.5
GARRAF	A	Fumana_laevis	3	0.0	D	A	16.416	4.519	38.081	40.984	0.142	0.000	4
GARRAF	A	Gladiolus_illyricus	10	10.9	T	Z	9.101	25.843	14.660	50.395	2.185	0.080	4
GARRAF	A	Leuzea_conifera	395	18.5	NT	A	8.679	29.907	25.244	36.169	0.033	0.120	5.5
GARRAF	A	Muscari_neglectum	10	6.5	T	A	20.349	31.761	20.647	27.243	0.219	0.100	3.5
GARRAF	A	Orobanche_latisquama	88	13.0	T	Z	6.664	21.802	24.825	46.710	0.829	0.550	4
