Pollinator	Percentage	Group
Lepidopterans	11.7	1.0
Lepidopterans	4.0	4.0
Lepidopterans	0.0	4.0
Lepidopterans	0.0	5.0
Lepidopterans	1.0	5.0
Lepidopterans	0.0	3.0
Lepidopterans	2.0	3.0
Lepidopterans	0.0	4.0
Lepidopterans	0.2	5.0
Lepidopterans	0.2	3.0
Lepidopterans	0.9	5.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	2.0
Lepidopterans	0.0	1.0
Lepidopterans	69.3	1.0
Lepidopterans	6.8	1.0
Lepidopterans	58.8	3.0
Lepidopterans	1.2	4.0
Lepidopterans	0.1	4.0
Lepidopterans	3.5	4.0
Lepidopterans	0.0	4.0
Lepidopterans	0.0	4.0
Lepidopterans	0.7	4.0
Lepidopterans	0.0	4.0
Lepidopterans	1.5	4.0
Lepidopterans	14.7	3.0
Lepidopterans	0.0	3.0
Lepidopterans	1.6	3.0
Lepidopterans	0.0	5.0
Lepidopterans	28.7	5.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	4.0
Lepidopterans	15.3	3.0
Lepidopterans	6.2	3.0
Lepidopterans	0.9	3.0
Lepidopterans	7.4	3.0
Lepidopterans	0.0	3.0
Lepidopterans	0.8	3.0
Lepidopterans	13.5	5.0
Lepidopterans	0.0	4.0
Lepidopterans	0.4	5.0
Lepidopterans	0.8	5.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	5.0
Lepidopterans	1.4	5.0
Lepidopterans	0.0	3.0
Lepidopterans	5.2	1.0
Lepidopterans	0.0	1.0
Lepidopterans	19.8	1.0
Lepidopterans	0.5	4.0
Lepidopterans	3.1	3.0
Lepidopterans	2.0	3.0
Lepidopterans	0.0	5.0
Lepidopterans	1.0	3.0
Lepidopterans	5.3	3.0
Lepidopterans	0.0	3.0
Lepidopterans	0.0	3.0
Lepidopterans	1.2	3.0
Lepidopterans	0.0	4.0
Lepidopterans	0.0	4.0
Lepidopterans	9.8	1.0
Lepidopterans	0.0	4.0
Lepidopterans	3.0	4.0
Lepidopterans	0.0	2.0
Lepidopterans	0.0	4.0
Lepidopterans	12.2	3.0
Lepidopterans	0.0	3.0
Lepidopterans	0.0	2.0
Lepidopterans	0.0	3.0
Lepidopterans	0.5	2.0
Lepidopterans	0.0	2.0
Lepidopterans	4.0	1.0
Lepidopterans	10.1	3.0
Lepidopterans	0.0	3.0
Lepidopterans	0.0	4.0
Lepidopterans	0.0	5.0
Lepidopterans	0.0	3.0
Lepidopterans	0.3	3.0
Lepidopterans	1	3.0
Lepidopterans	2.2	5.0
